OperationID,WaybillNumber,OperationType,Status,Timestamp
OP001,123456,Load,Completed,2023-06-01 00:00:00
OP002,123457,Unload,Pending,2023-06-02 00:00:00
OP003,123458,Inspect,Completed,2023-06-03 00:00:00
OP004,123459,Load,Pending,2023-06-04 00:00:00
OP005,123460,Unload,Completed,2023-06-05 00:00:00
OP006,123461,Inspect,Pending,2023-06-06 00:00:00
OP007,123462,Load,Completed,2023-06-07 00:00:00
OP008,123463,Unload,Pending,2023-06-08 00:00:00
OP009,123464,Inspect,Completed,2023-06-09 00:00:00
OP010,123465,Load,Pending,2023-06-10 00:00:00
OP011,123466,Unload,Completed,2023-06-11 00:00:00
OP012,123467,Inspect,Pending,2023-06-12 00:00:00
OP013,123468,Load,Completed,2023-06-13 00:00:00
OP014,123469,Unload,Pending,2023-06-14 00:00:00
OP015,123470,Inspect,Completed,2023-06-15 00:00:00
OP016,123471,Load,Pending,2023-06-16 00:00:00
OP017,123472,Unload,Completed,2023-06-17 00:00:00
OP018,123473,Inspect,Pending,2023-06-18 00:00:00
OP019,123474,Load,Completed,2023-06-19 00:00:00
OP020,123475,Unload,Pending,2023-06-20 00:00:00
OP001,123456,Load,Completed,2023-06-01 00:00:00
